COUNTRY,MISSION,lat,lon,VISA_ISSUE_DATE, EMPLOYMENT_VISA_IN_NO, TOURIST_VISA_IN_NO,BUSINESS_VISA_IN_NO,CONFERENCE_VISA_IN_NO,BUS_VISA_INDSPOUSE_IN_NO,BUS_VISA_TRANSFER_IN_NO,DIPLOMATIC_VISA_IN_NO,DIPL_DEPENDANT_VISA_IN_NO,EMPLOYMENT_VISA_INDSPOUSE_IN_NO,ENTRY_VISA_IN_NO,MEDICAL_VISA_IN_NO,MEDICAL_ATTENDENT_VISA_IN_NO,MISSIONARY_VISA_IN_NO,PILGRIMAGE_VISA_IN_NO,RESEARCH_VISA_IN_NO,PROJECT_VISA_IN_NO,TRANSIT_VISA_IN_NO,VISIT_VISA_IN_NO,ART_SURROGACY_IN_NO,LONG_TERM_VISA_TRANS_IN_NO,STUDENT_VISA_IN_NO
ARGENTINA,ARGENTINA-BUENOSAIRES,-34.6036844,-58.3815591,2014-01-31T15:14:23Z,0,38,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMENIA,ARMENIA-YEREVAN,40.1791857,44.4991029,2014-01-31T15:14:23Z,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSTRALIA,AUSTRALIA-CANBERRA,-35.2809368,149.1300092,2014-01-31T15:14:23Z,0,66,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSTRALIA,AUSTRALIA-MELBOURNE,-37.8136276,144.9630576,2014-01-31T15:14:23Z,0,126,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSTRALIA,AUSTRALIA-PERTH,-31.9505269,115.8604572,2014-01-31T15:14:23Z,0,39,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSTRALIA,AUSTRALIA-SYDNEY,-33.8688197,151.2092955,2014-01-31T15:14:23Z,1,131,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUSTRIA,AUSTRIA-VIENNA,48.2081743,16.3738189,2014-01-31T15:14:23Z,0,120,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AZERBAIJAN,AZERBEIJAN-BAKU,40.4092617,49.8670924,2014-01-31T15:14:23Z,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BELGIUM,BELGIUM-BRUSSELS,50.8503463,4.3517211,2014-01-31T15:14:23Z,0,119,42,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BULGARIA,BULGARIA-SOFIA,42.6977082,23.3218675,2014-01-31T15:14:23Z,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
BELARUS,BELARUS-MINSK,53.9045398,27.5615244,2014-01-31T15:14:23Z,0,75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRAZIL,BRAZIL-BRASILIA,-15.826691,-47.9218204,2014-01-31T15:14:23Z,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRAZIL,BRAZIL-SAOPAULO,-23.5505199,-46.6333094,2014-01-31T15:14:23Z,0,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRUNEI,BRUNEI-DARUSSALAM,4.535277,114.727669,2014-01-31T15:14:23Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANADA,CANADA-OTTAWA,45.4215296,-75.6971931,2014-01-31T15:14:23Z,0,68,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CANADA,CANADA-TORONTO,43.653226,-79.3831843,2014-01-31T15:14:23Z,0,432,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANADA,CANADA-VANCOUVER,49.2827291,-123.1207375,2014-01-31T15:14:23Z,0,245,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWITZERLAND,SWITZERLAND-BERNE,46.9479739,7.4474468,2014-01-31T15:14:23Z,0,116,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWITZERLAND,SWITZERLAND-GENEVA,46.2043907,6.1431577,2014-01-31T15:14:23Z,0,34,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILE,CHILE-SANTIAGO,-33.4488897,-70.6692655,2014-01-31T15:14:23Z,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLOMBIA,COLOMBIA-BOGOTA,4.7109886,-74.072092,2014-01-31T15:14:23Z,0,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZECH,CZECH-PRAGUE,50.0755381,14.4378005,2014-01-31T15:14:23Z,0,46,16,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERMANY,GERMANY-BERLIN,52.5200066,13.404954,2014-01-31T15:14:23Z,3,286,60,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
GERMANY,GERMANY-FRANKFURT,50.1109221,8.6821267,2014-01-31T15:14:23Z,8,234,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERMANY,GERMANY-HAMBURG,53.5510846,9.9936819,2014-01-31T15:14:23Z,1,102,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
